cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
114,113,32923,705542,5768,normal,5768,0.594810,0.000000,0.000000,0.000000,0.000000,0.000000,0.226987,1.000000,0.229544,1,1,0,247
115,114,33161,710798,5256,normal,5256,0.593032,0.000000,0.000000,0.000000,0.000000,0.000000,0.024566,1.000000,0.307991,1,1,0,247
116,115,33423,716566,5768,normal,5768,0.589185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.664594,0.156071,1,1,0,247
117,116,33661,721822,5256,normal,5256,0.586253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.287313,0.055560,1,1,0,248
118,117,33923,727590,5768,normal,5768,0.585106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321222,0.061535,1,1,0,246
119,118,34161,732846,5256,normal,5256,0.586909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240019,0.046065,1,1,0,247
120,119,34423,738614,5768,normal,5768,0.590346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339526,0.076396,1,1,0,247
121,120,34661,743870,5256,normal,5256,0.593470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.909223,0.183763,1,1,0,248
122,121,34923,749638,5768,normal,5768,0.594495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991025,0.257234,1,1,0,247
123,122,35161,754894,5256,normal,5256,0.592598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.906239,0.183026,1,1,0,248
124,123,35423,760662,5768,normal,5768,0.589063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.311236,0.066930,1,1,0,247
125,124,35661,765918,5256,normal,5256,0.585896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.361702,0.063237,1,1,0,247
126,125,35923,771686,5768,normal,5768,0.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.813470,0.165236,1,1,0,247
127,126,36161,776942,5256,normal,5256,0.586951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000914,1.000000,0.250000,1,1,0,247
128,127,36423,782710,5768,normal,5768,0.590704,0.000000,0.000000,0.000000,0.000000,0.000000,0.448004,1.000000,0.128335,1,1,0,248
129,128,36661,787966,5256,normal,5256,0.593748,0.000000,0.000000,0.000000,0.000000,0.000000,0.452811,1.000000,0.149291,1,1,0,247
130,129,36923,793734,5768,normal,5768,0.594816,0.000000,0.000000,0.000000,0.000000,0.000000,0.230275,1.000000,0.234271,1,1,0,247
131,130,37161,798990,5256,normal,5256,0.592923,0.000000,0.000000,0.000000,0.000000,0.000000,0.036845,1.000000,0.307695,1,1,0,247
132,131,37423,804758,5768,normal,5768,0.589153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542138,0.117807,1,1,0,247
133,132,37661,810014,5256,normal,5256,0.586111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322215,0.064798,1,1,0,247
134,133,37922,815782,5768,normal,5768,0.585027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335075,0.066703,1,1,0,247
135,134,38161,821038,5256,normal,5256,0.586713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.256849,0.050713,1,1,0,247
136,135,38422,826806,5768,normal,5768,0.590369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.391910,0.089228,1,1,0,247
137,136,38661,832062,5256,normal,5256,0.593432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.918222,0.199040,1,1,0,247
138,137,38922,837830,5768,normal,5768,0.594502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994253,0.276138,1,1,0,247
139,138,39161,843086,5256,normal,5256,0.592694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.828402,0.185063,1,1,0,247
140,139,39422,848854,5768,normal,5768,0.589201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349977,0.068620,1,1,0,248
141,140,39661,854110,5256,normal,5256,0.586033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.397486,0.068575,1,1,0,247
142,141,39922,859878,5768,normal,5768,0.585503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.788635,0.171053,1,1,0,247
143,142,40161,865134,5256,normal,5256,0.587054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.246286,1,1,0,247
144,143,40422,870902,5768,normal,5768,0.590856,0.000000,0.000000,0.000000,0.000000,0.000000,0.473815,1.000000,0.106424,1,1,0,245
145,144,40661,876158,5256,normal,5256,0.593771,0.000000,0.000000,0.000000,0.000000,0.000000,0.471094,1.000000,0.143697,1,1,0,247
146,145,40922,881926,5768,normal,5768,0.594780,0.000000,0.000000,0.000000,0.000000,0.000000,0.228132,1.000000,0.232275,1,1,0,248
147,146,41161,887182,5256,normal,5256,0.592894,0.000000,0.000000,0.000000,0.000000,0.000000,0.021242,0.999894,0.309522,1,1,0,246
148,147,41422,892950,5768,normal,5768,0.589277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.429950,0.092846,1,1,0,247
149,148,41661,898206,5256,normal,5256,0.586129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321567,0.067293,1,1,0,247
150,149,41922,903974,5768,normal,5768,0.585020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278766,0.055567,1,1,0,248
151,150,42160,909230,5256,normal,5256,0.586598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318386,0.065967,1,1,0,246
152,151,42422,914998,5768,normal,5768,0.590471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.362531,0.078533,1,1,0,247
153,152,42660,920254,5256,normal,5256,0.593395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.937782,0.198197,1,1,0,247
154,153,42922,926022,5768,normal,5768,0.594528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.989843,0.250488,1,1,0,247
155,154,43160,931278,5256,normal,5256,0.592741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.765756,0.185264,1,1,0,247
