index,timestamp_ms,samples,cum_samples,cum_ms_by_samples,drift_ms,peak_int16
400,49875,2756,1102400,99990.929705,-50115.929705,16348
401,50000,2756,1105156,100240.907029,-50240.907029,16353
402,50125,2756,1107912,100490.884354,-50365.884354,16372
403,50250,2756,1110668,100740.861678,-50490.861678,16358
404,50375,2756,1113424,100990.839002,-50615.839002,16371
405,50500,2756,1116180,101240.816327,-50740.816327,16371
406,50625,2756,1118936,101490.793651,-50865.793651,16368
407,50750,2756,1121692,101740.770975,-50990.770975,16371
408,50875,2756,1124448,101990.748299,-51115.748299,16377
409,51000,2756,1127204,102240.725624,-51240.725624,16377
410,51125,2756,1129960,102490.702948,-51365.702948,16371
411,51250,2756,1132716,102740.680272,-51490.680272,16368
412,51375,2756,1135472,102990.657596,-51615.657596,16371
413,51500,2756,1138228,103240.634921,-51740.634921,16371
414,51625,2756,1140984,103490.612245,-51865.612245,16358
415,51750,2756,1143740,103740.589569,-51990.589569,16372
416,51875,2756,1146496,103990.566893,-52115.566893,16353
417,52000,2756,1149252,104240.544218,-52240.544218,16348
418,52125,2756,1152008,104490.521542,-52365.521542,16373
419,52250,2756,1154764,104740.498866,-52490.498866,16330
420,52375,2756,1157520,104990.476190,-52615.476190,16369
421,52500,2756,1160276,105240.453515,-52740.453515,16369
422,52625,2756,1163032,105490.430839,-52865.430839,16351
423,52750,2756,1165788,105740.408163,-52990.408163,16373
424,52875,2756,1168544,105990.385488,-53115.385488,16376
425,53000,2756,1171300,106240.362812,-53240.362812,16376
426,53125,2756,1174056,106490.340136,-53365.340136,16373
427,53250,2756,1176812,106740.317460,-53490.317460,16351
428,53375,2756,1179568,106990.294785,-53615.294785,16369
429,53500,2756,1182324,107240.272109,-53740.272109,16369
430,53625,2756,1185080,107490.249433,-53865.249433,16330
431,53750,2756,1187836,107740.226757,-53990.226757,16373
432,53875,2756,1190592,107990.204082,-54115.204082,16348
433,54000,2756,1193348,108240.181406,-54240.181406,16353
434,54125,2756,1196104,108490.158730,-54365.158730,16372
435,54250,2756,1198860,108740.136054,-54490.136054,16358
436,54375,2756,1201616,108990.113379,-54615.113379,16371
437,54500,2756,1204372,109240.090703,-54740.090703,16371
438,54625,2756,1207128,109490.068027,-54865.068027,16368
439,54750,2756,1209884,109740.045351,-54990.045351,16371
440,54875,2756,1212640,109990.022676,-55115.022676,16377
441,55000,2756,1215396,110240.000000,-55240.000000,16377
442,55125,2756,1218152,110489.977324,-55364.977324,16371
443,55250,2756,1220908,110739.954649,-55489.954649,16368
444,55375,2756,1223664,110989.931973,-55614.931973,16371
445,55500,2756,1226420,111239.909297,-55739.909297,16371
446,55625,2756,1229176,111489.886621,-55864.886621,16358
447,55750,2756,1231932,111739.863946,-55989.863946,16372
448,55875,2756,1234688,111989.841270,-56114.841270,16353
449,56000,2756,1237444,112239.818594,-56239.818594,16348
450,56125,2756,1240200,112489.795918,-56364.795918,16373
451,56250,2756,1242956,112739.773243,-56489.773243,16330
452,56375,2756,1245712,112989.750567,-56614.750567,16369
453,56500,2756,1248468,113239.727891,-56739.727891,16369
454,56625,2756,1251224,113489.705215,-56864.705215,16351
455,56750,2756,1253980,113739.682540,-56989.682540,16373
456,56875,2756,1256736,113989.659864,-57114.659864,16376
457,57000,2756,1259492,114239.637188,-57239.637188,16376
458,57125,2756,1262248,114489.614512,-57364.614512,16373
459,57250,2756,1265004,114739.591837,-57489.591837,16351
460,57375,2756,1267760,114989.569161,-57614.569161,16369
461,57500,2756,1270516,115239.546485,-57739.546485,16369
462,57625,2756,1273272,115489.523810,-57864.523810,16330
463,57750,2756,1276028,115739.501134,-57989.501134,16373
464,57875,2756,1278784,115989.478458,-58114.478458,16348
465,58000,2756,1281540,116239.455782,-58239.455782,16353
466,58125,2756,1284296,116489.433107,-58364.433107,16372
467,58250,2756,1287052,116739.410431,-58489.410431,16358
468,58375,2756,1289808,116989.387755,-58614.387755,16371
469,58500,2756,1292564,117239.365079,-58739.365079,16371
470,58625,2756,1295320,117489.342404,-58864.342404,16368
471,58750,2756,1298076,117739.319728,-58989.319728,16371
472,58875,2756,1300832,117989.297052,-59114.297052,16377
473,59000,2756,1303588,118239.274376,-59239.274376,16377
474,59125,2756,1306344,118489.251701,-59364.251701,16371
475,59250,2756,1309100,118739.229025,-59489.229025,16368
476,59375,2756,1311856,118989.206349,-59614.206349,16371
477,59500,2756,1314612,119239.183673,-59739.183673,16371
478,59625,2756,1317368,119489.160998,-59864.160998,16358
479,59750,2756,1320124,119739.138322,-59989.138322,16372
480,59875,2756,1322880,119989.115646,-60114.115646,16353
481,60000,2756,1325636,120239.092971,-60239.092971,16348
482,60125,2756,1328392,120489.070295,-60364.070295,16373
483,60250,2756,1331148,120739.047619,-60489.047619,16330
484,60375,2756,1333904,120989.024943,-60614.024943,16369
485,60500,2756,1336660,121239.002268,-60739.002268,16369
486,60625,2756,1339416,121488.979592,-60863.979592,16351
487,60750,2756,1342172,121738.956916,-60988.956916,16373
488,60875,2756,1344928,121988.934240,-61113.934240,16376
489,61000,2756,1347684,122238.911565,-61238.911565,16376
490,61125,2756,1350440,122488.888889,-61363.888889,16373
491,61250,2756,1353196,122738.866213,-61488.866213,16351
492,61375,2756,1355952,122988.843537,-61613.843537,16369
493,61500,2756,1358708,123238.820862,-61738.820862,16369
494,61625,2756,1361464,123488.798186,-61863.798186,16330
495,61750,2756,1364220,123738.775510,-61988.775510,16373
496,61875,2756,1366976,123988.752834,-62113.752834,16348
497,62000,2756,1369732,124238.730159,-62238.730159,16353
498,62125,2756,1372488,124488.707483,-62363.707483,16372
499,62250,2756,1375244,124738.684807,-62488.684807,16358
500,62375,2756,1378000,124988.662132,-62613.662132,16371
501,62500,2756,1380756,125238.639456,-62738.639456,16371
502,62625,2756,1383512,125488.616780,-62863.616780,16368
503,62750,2756,1386268,125738.594104,-62988.594104,16371
504,62875,2756,1389024,125988.571429,-63113.571429,16377
505,63000,2756,1391780,126238.548753,-63238.548753,16377
506,63125,2756,1394536,126488.526077,-63363.526077,16371
507,63250,2756,1397292,126738.503401,-63488.503401,16368
