cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
102,101,34559,741626,5768,normal,5768,0.592375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.643822,0.125290,0,0,0,145
103,102,34923,749638,8012,normal,8012,0.594495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987028,0.244370,0,0,0,152
104,103,35298,757906,8268,normal,8268,0.590766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.598538,0.121096,0,0,0,152
105,104,35559,763674,5768,normal,5768,0.587203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280907,0.053495,0,0,0,147
106,105,35923,771686,8012,normal,8012,0.585442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.706223,0.143987,0,0,0,147
107,106,36298,779954,8268,normal,8268,0.588676,0.000000,0.000000,0.000000,0.000000,0.000000,0.334267,1.000000,0.200398,0,0,0,151
108,107,36559,785722,5768,normal,5768,0.592718,0.000000,0.000000,0.000000,0.000000,0.000000,0.482237,1.000000,0.127922,0,0,0,145
109,108,36923,793734,8012,normal,8012,0.594816,0.000000,0.000000,0.000000,0.000000,0.000000,0.249251,1.000000,0.221581,0,0,0,146
110,109,37298,802002,8268,normal,8268,0.591140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.807158,0.181943,0,0,0,152
111,110,37559,807770,5768,normal,5768,0.587333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328746,0.068719,0,0,0,149
112,111,37922,815782,8012,normal,8012,0.585027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.345264,0.069010,0,0,0,145
113,112,38297,824050,8268,normal,8268,0.588558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278419,0.060989,0,0,0,148
114,113,38559,829818,5768,normal,5768,0.592365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641147,0.131204,0,0,0,147
115,114,38922,837830,8012,normal,8012,0.594502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990752,0.263271,0,0,0,146
116,115,39297,846098,8268,normal,8268,0.590820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466223,0.098603,0,0,0,150
117,116,39559,851866,5768,normal,5768,0.587373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328806,0.057952,0,0,0,147
118,117,39922,859878,8012,normal,8012,0.585503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.706601,0.154498,0,0,0,153
119,118,40297,868146,8268,normal,8268,0.588750,0.000000,0.000000,0.000000,0.000000,0.000000,0.302979,1.000000,0.207916,0,0,0,148
120,119,40559,873914,5768,normal,5768,0.592791,0.000000,0.000000,0.000000,0.000000,0.000000,0.516418,1.000000,0.113468,0,0,0,146
121,120,40922,881926,8012,normal,8012,0.594780,0.000000,0.000000,0.000000,0.000000,0.000000,0.239189,1.000000,0.224842,0,0,0,148
122,121,41297,890194,8268,normal,8268,0.591000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.736653,0.162470,0,0,0,151
123,122,41559,895962,5768,normal,5768,0.587313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285873,0.066396,0,0,0,146
124,123,41922,903974,8012,normal,8012,0.585020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.279894,0.056244,0,0,0,147
125,124,42297,912242,8268,normal,8268,0.588379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.298064,0.063398,0,0,0,150
126,125,42559,918010,5768,normal,5768,0.592334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.668123,0.131856,0,0,0,147
127,126,42922,926022,8012,normal,8012,0.594528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985599,0.235575,0,0,0,145
128,127,43297,934290,8268,normal,8268,0.590820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.572076,0.122826,0,0,0,149
129,128,43559,940058,5768,normal,5768,0.587522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340177,0.056423,0,0,0,146
130,129,43922,948070,8012,normal,8012,0.585546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752918,0.166219,0,0,0,149
131,130,44297,956338,8268,normal,8268,0.588747,0.000000,0.000000,0.000000,0.000000,0.000000,0.262455,1.000000,0.217444,0,0,0,148
132,131,44559,962106,5768,normal,5768,0.592827,0.000000,0.000000,0.000000,0.000000,0.000000,0.501543,1.000000,0.130354,0,0,0,150
133,132,44922,970118,8012,normal,8012,0.594834,0.000000,0.000000,0.000000,0.000000,0.000000,0.242865,1.000000,0.221852,0,0,0,146
134,133,45297,978386,8268,normal,8268,0.590962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680120,0.151779,0,0,0,148
135,134,45558,984154,5768,normal,5768,0.587313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284961,0.064374,0,0,0,147
136,135,45922,992166,8012,normal,8012,0.585045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293761,0.061956,0,0,0,150
137,136,46297,1000434,8268,normal,8268,0.588418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271930,0.056444,0,0,0,148
138,137,46558,1006202,5768,normal,5768,0.592326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.729586,0.131002,0,0,0,147
139,138,46922,1014214,8012,normal,8012,0.594556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.986266,0.217811,0,0,0,148
140,139,47297,1022482,8268,normal,8268,0.590897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.498337,0.096665,0,0,0,148
141,140,47558,1028250,5768,normal,5768,0.587565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309872,0.051358,0,0,0,147
142,141,47922,1036262,8012,normal,8012,0.585443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.844195,0.191898,0,0,0,147
143,142,48297,1044530,8268,normal,8268,0.588838,0.000000,0.000000,0.000000,0.000000,0.000000,0.384365,1.000000,0.172771,0,0,0,148
144,143,48558,1050298,5768,normal,5768,0.592840,0.000000,0.000000,0.000000,0.000000,0.000000,0.457251,1.000000,0.158542,0,0,0,149
145,144,48921,1058310,8012,normal,8012,0.594821,0.000000,0.000000,0.000000,0.000000,0.000000,0.252511,1.000000,0.213168,0,0,0,147
146,145,49296,1066578,8268,normal,8268,0.591060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.777680,0.185319,0,0,0,149
147,146,49558,1072346,5768,normal,5768,0.587300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270202,0.059508,0,0,0,147
148,147,49921,1080358,8012,normal,8012,0.585122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278532,0.054194,0,0,0,146
149,148,50296,1088626,8268,normal,8268,0.588475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230263,0.047254,0,0,0,148
150,149,50558,1094394,5768,normal,5768,0.592319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.736740,0.134397,0,0,0,146
151,150,50921,1102406,8012,normal,8012,0.594561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992962,0.228146,0,0,0,151
152,151,51296,1110674,8268,normal,8268,0.590903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.429451,0.088389,0,0,0,147
153,152,51558,1116442,5768,normal,5768,0.587534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267145,0.045603,0,0,0,149
154,153,51921,1124454,8012,normal,8012,0.585352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.754982,0.158183,0,0,0,148
155,154,52296,1132722,8268,normal,8268,0.588795,0.000000,0.000000,0.000000,0.000000,0.000000,0.316776,1.000000,0.196558,0,0,0,149
156,155,52558,1138490,5768,normal,5768,0.592776,0.000000,0.000000,0.000000,0.000000,0.000000,0.465212,1.000000,0.151561,0,0,0,147
157,156,52921,1146502,8012,normal,8012,0.594900,0.000000,0.000000,0.000000,0.000000,0.000000,0.267048,1.000000,0.202260,0,0,0,147
158,157,53296,1154770,8268,normal,8268,0.591111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767676,0.187601,0,0,0,148
159,158,53558,1160538,5768,normal,5768,0.587308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335521,0.072880,0,0,0,150
160,159,53921,1168550,8012,normal,8012,0.585265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276071,0.054150,0,0,0,151
161,160,54296,1176818,8268,normal,8268,0.588572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.265078,0.057575,0,0,0,148
162,161,54558,1182586,5768,normal,5768,0.592312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.678485,0.132127,0,0,0,147
163,162,54921,1190598,8012,normal,8012,0.594611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993392,0.218753,0,0,0,148
164,163,55296,1198866,8268,normal,8268,0.590892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.572604,0.129528,0,0,0,148
165,164,55558,1204634,5768,normal,5768,0.587397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285390,0.055508,0,0,0,151
166,165,55932,1212902,8268,normal,8268,0.585248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632036,0.133411,0,0,0,147
167,166,56296,1220914,8012,normal,8012,0.588809,0.000000,0.000000,0.000000,0.000000,0.000000,0.052731,1.000000,0.270659,0,0,0,149
168,167,56557,1226682,5768,normal,5768,0.592693,0.000000,0.000000,0.000000,0.000000,0.000000,0.497484,1.000000,0.136558,0,0,0,149
